id,nombre,operador_norm,web,continente,pais,pais_iso,ciudad,direccion,latitud,longitud,estado,estado_ord,anio_registro,inversion_usd_m,cap_mw,consumo_electrico_mw,consumo_agua_ml_año,agua_indirecta_ml_año,agua_total_ml_año,co2_ton_año,tecnologia_refrigeracion,riesgo_hidrico_cuenca,riesgo_hidrico_cuenca_ord,riesgo_hidrico_pais,riesgo_hidrico_pais_ord,divergencia_pais_cuenca,bws_descripcion,tamaño_categoria,tamaño_porredes
14130,Silica Networks - Data Center Nubicua (OSO01),Silica Networks S.A.,https://www.silicanetworks.com/es/servicio/datacenters/,América del Sur,Chile,CL,Las Lumas,"Ruta 215 CH , km 10",-40.591393,-72.952984,operativo,2,2023,,,0.28,4415040,6181056,10596096,1060,mixto,Low (<10%),1.0,Extremely High (>80%),5.0,-4.0,CRÍTICO: más del 80% del agua disponible ya está comprometida,,local
8390,Stellium 2 & 3,Stellium Datacentres Limited,https://www.stelliumdc.com/,Europa,Reino Unido,GB,Newcastle,9 Cobalt Park Way,55.016869,-1.500107,operativo,2,2020,,,0.28,4415040,6181056,10596096,1060,mixto,Low - Medium (10-20%),2.0,Low - Medium (10-20%),2.0,0.0,MEDIO-BAJO: 10-20% del agua comprometida,,local
8408,3W-DC01,Serverhosh Internet Service,https://www.3winfra.com/,Europa,Países Bajos,NL,Amsterdam,Lemelerbergweg 28,52.303794,4.939254,operativo,2,2020,,,0.28,4415040,6181056,10596096,1060,mixto,Low (<10%),1.0,Low - Medium (10-20%),2.0,-1.0,MEDIO-BAJO: 10-20% del agua comprometida,,local
8345,PhoenixNAP SINGAPORE,PhoenixNAP,https://phoenixnap.com/colocation/singapore,Asia-Pacífico,Singapur,SG,Singapore,26A Ayer Rajah Crescent,1.296184,103.790927,operativo,2,2020,,,0.28,4415040,6181056,10596096,1060,mixto,Low (<10%),1.0,NoData,-1.0,2.0,SIN DATO,,local
8350,Omid Solutions Barueri,OMID SOLUTIONS TECNOLOGIA LTDA,http://www.omidsolutions.com.br/,América del Sur,Brasil,BR,Barueri,"Av. Aruanã, 452 - Barueri/SP",-23.493228,-46.83566,operativo,2,2020,,,0.28,4415040,6181056,10596096,1060,mixto,High (40-80%),4.0,Low - Medium (10-20%),2.0,2.0,MEDIO-BAJO: 10-20% del agua comprometida,,local
8351,Omid Solutions São Paulo,OMID SOLUTIONS TECNOLOGIA LTDA,http://www.omidsolutions.com.br/,América del Sur,Brasil,BR,São Paulo,"Rua Texas, 676 - Brooklin/SP",-23.604649,-46.681851,operativo,2,2020,,,0.28,4415040,6181056,10596096,1060,mixto,High (40-80%),4.0,Low - Medium (10-20%),2.0,2.0,MEDIO-BAJO: 10-20% del agua comprometida,,local
8358,LayerBridge Pipera,ENGINYRING Europe SRL,https://www.layerbridge.com,Europa,Rumanía,RO,Voluntari,"Pipera Blvd., No. 1i",44.490023,26.118948,operativo,2,2020,,,0.28,4415040,6181056,10596096,1060,mixto,High (40-80%),4.0,Medium - High (20-40%),3.0,1.0,MEDIO-ALTO: 20-40% del agua comprometida,,local
1685,B-BRIX - SPO1,Backbone-BR Servicos em Telecom,http://www.backbone-br.com.br,América del Sur,Brasil,BR,Barueri,Tambore - Barueri,-23.497107,-46.814556,operativo,2,2013,,,0.28,4415040,6181056,10596096,1060,mixto,High (40-80%),4.0,Low - Medium (10-20%),2.0,2.0,MEDIO-BAJO: 10-20% del agua comprometida,,local
1692,SBTAP01,SBTAP,https://as59715.net,Europa,Italia,IT,San Benedetto del Tronto,viale A. de Gasperi 124,42.943245,13.883056,operativo,2,2013,,,0.28,4415040,6181056,10596096,1060,mixto,Extremely High (>80%),5.0,High (40-80%),4.0,1.0,ALTO: entre 40-80% del agua disponible comprometida,,local
10419,Polcom Alwernia Datacenter,Polcom Sp. z o.o.,https://polcom.com.pl/,Europa,Polonia,PL,Grojec,Zamkowa 21,50.096912,19.556092,operativo,2,2021,,,0.28,4415040,6181056,10596096,1060,mixto,Low - Medium (10-20%),2.0,Low - Medium (10-20%),2.0,0.0,MEDIO-BAJO: 10-20% del agua comprometida,,local
1637,Level(3) Bellevue,Lumen Technologies Inc,http://www.level3.com,América del Norte,Estados Unidos,US,Bellevue,1514 Chandler Rd,41.185518,-95.936099,operativo,2,2013,,,0.28,4415040,6181056,10596096,1060,mixto,Low (<10%),1.0,Medium - High (20-40%),3.0,-2.0,MEDIO-ALTO: 20-40% del agua comprometida,,local
8320,Softnet Koper DC,Softnet,http://www.softnet.si,Europa,SI,SI,Koper,Vojkovo nabrezje 30,45.5481,13.737804,operativo,2,2020,,,0.28,4415040,6181056,10596096,1060,mixto,Low (<10%),1.0,Low (<10%),1.0,0.0,BAJO: menos del 10% del agua comprometida,,local
8291,Akquinet HAM01,akquinet outsourcing gGmbH,https://www.akquinet.com,Europa,Alemania,DE,Hamburg,Paul-Stritter-Weg 5,53.611944,10.02545,operativo,2,2020,,,0.28,4415040,6181056,10596096,1060,mixto,Low (<10%),1.0,Medium - High (20-40%),3.0,-2.0,MEDIO-ALTO: 20-40% del agua comprometida,,local
8308,EMP Secure DC2,EMP Secure AS,http://www.empsecure.com,Europa,Noruega,NO,Nedre Vats,Stokkastrandvegen 88B,59.477006,5.737024,operativo,2,2020,,,0.28,4415040,6181056,10596096,1060,mixto,Low (<10%),1.0,Low (<10%),1.0,0.0,BAJO: menos del 10% del agua comprometida,,local
8315,Crosspoint Data College Station,"Crosspoint Data, LLC",https://www.crosspointdata.com/,América del Norte,Estados Unidos,US,College Station,3001 Earl Rudder Fwy S,30.601412,-96.2873,operativo,2,2020,,,0.28,4415040,6181056,10596096,1060,mixto,Low - Medium (10-20%),2.0,Medium - High (20-40%),3.0,-1.0,MEDIO-ALTO: 20-40% del agua comprometida,,local
